Sample 1	Sample 1	Sample 2	Sample 2	Sample 3	Sample 3	Sample 4	Sample 4	Sample 5	Sample 5	Sample 6	Sample 6	Sample 7	Sample 7
457.8	12700	465.6	27890	465.6	1820	465.6	9.788	439	381870	582.8	510	439	5560
457.9	12620	465.8	26820	465.8	1870	465.8	9.753	439.5	350160	582.9	520	439.5	5430
458	12700	466	26680	466	2220	466	9.708	440	305390	583	480	440	5130
458.1	12310	466.2	27030	466.2	1890	466.2	9.723	440.5	289990	583.1	460	440.5	5160
458.2	13250	466.4	28730	466.4	1830	466.4	9.761	441	306560	583.2	470	441	4740
458.3	12180	466.6	27530	466.6	1940	466.6	9.724	441.5	323380	583.3	340	441.5	5400
458.4	12090	466.8	27760	466.8	1920	466.8	9.768	442	307280	583.4	380	442	4800
458.5	12080	467	28420	467	1890	467	9.927	442.5	273400	583.5	370	442.5	4860
458.6	12840	467.2	29100	467.2	2120	467.2	9.927	443	252720	583.6	590	443	4560
458.7	12460	467.4	29560	467.4	2250	467.4	9.945	443.5	239430	583.7	550	443.5	4760
458.8	12590	467.6	30810	467.6	2150	467.6	9.9	444	236360	583.8	630	444	4830
458.9	12490	467.8	31680	467.8	2140	467.8	9.935	444.5	237290	583.9	570	444.5	4770
459	12700	468	30630	468	2130	468	9.917	445	236190	584	650	445	4970
459.1	12630	468.2	29920	468.2	2330	468.2	9.955	445.5	237070	584.1	710	445.5	4650
459.2	12090	468.4	29870	468.4	2240	468.4	9.881	446	237390	584.2	800	446	4920
459.3	13530	468.6	29930	468.6	2150	468.6	9.86	446.5	234390	584.3	730	446.5	5570
459.4	12670	468.8	30010	468.8	2100	468.8	9.751	447	233010	584.4	870	447	5380
459.5	11690	469	30490	469	2480	469	9.756	447.5	232530	584.5	740	447.5	6240
459.6	12250	469.2	29150	469.2	2230	469.2	9.666	448	234430	584.6	1050	448	7070
459.7	12370	469.4	28610	469.4	2070	469.4	9.593	448.5	234300	584.7	890	448.5	9390
459.8	11820	469.6	28600	469.6	2160	469.6	9.594	449	237540	584.8	1150	449	13610
459.9	11660	469.8	27270	469.8	2030	469.8	9.567	449.5	240230	584.9	1160	449.5	14550
460	11600	470	26910	470	2130	470	9.539	450	247240	585	1140	450	15330
460.1	12140	470.2	27610	470.2	2220	470.2	9.474	450.5	248010	585.1	1290	450.5	14900
460.2	12270	470.4	27320	470.4	2240	470.4	9.365	451	242510	585.2	1460	451	14020
460.3	11640	470.6	27490	470.6	1950	470.6	9.324	451.5	239530	585.3	1480	451.5	13310
460.4	11500	470.8	26490	470.8	2010	470.8	9.172	452	241370	585.4	1550	452	14180
460.5	11780	471	26060	471	1920	471	9.176	452.5	243440	585.5	1520	452.5	15410
460.6	12010	471.2	25220	471.2	1620	471.2	9.172	453	237390	585.6	1670	453	14220
460.7	12460	471.4	25780	471.4	2050	471.4	9.072	453.5	236880	585.7	1210	453.5	13460
460.8	11940	471.6	25900	471.6	1690	471.6	8.948	454	234120	585.8	1460	454	12170
460.9	11490	471.8	25330	471.8	1760	471.8	8.808	454.5	235580	585.9	1470	454.5	10880
461	12130	472	24710	472	2060	472	8.76	455	235890	586	1540	455	8970
461.1	11670	472.2	26220	472.2	1900	472.2	8.524	455.5	241540	586.1	1220	455.5	8880
461.2	12270	472.4	25360	472.4	1940	472.4	8.48	456	242670	586.2	1360	456	8750
461.3	12330	472.6	26360	472.6	2210	472.6	8.393	456.5	245530	586.3	1270	456.5	8720
461.4	12470	472.8	26630	472.8	1860	472.8	8.343	457	249140	586.4	1260	457	7700
461.5	12230	473	27010	473	1780	473	8.149	457.5	253220	586.5	1420	457.5	7060
461.6	12590	473.2	27590	473.2	1960	473.2	8.03	458	252040	586.6	1540	458	6420
461.7	11720	473.4	28120	473.4	1790	473.4	7.964	458.5	246040	586.7	1790	458.5	6250
461.8	12740	473.6	27870	473.6	1880	473.6	7.917	459	234220	586.8	1770	459	5890
461.9	12070	473.8	27420	473.8	2080	473.8	7.803	459.5	224830	586.9	1850	459.5	5320
462	12210	474	26250	474	2000	474	7.642	460	219500	587	1970	460	5290
462.1	12790	474.2	25440	474.2	2000	474.2	7.542	460.5	216350	587.1	1980	460.5	4830
462.2	12480	474.4	25980	474.4	2000	474.4	7.429	461	218700	587.2	2170	461	5090
462.3	12350	474.6	25260	474.6	1750	474.6	7.346	461.5	218770	587.3	1810	461.5	5000
462.4	12690	474.8	23850	474.8	1930	474.8	7.241	462	216060	587.4	2330	462	4890
462.5	12180	475	24390	475	1920	475	7.301	462.5	219070	587.5	1870	462.5	4980
462.6	12010	475.2	22900	475.2	1860	475.2	7.28	463	219870	587.6	2070	463	4590
462.7	12310	475.4	23920	475.4	1860	475.4	7.196	463.5	218060	587.7	1870	463.5	4900
462.8	12080	475.6	24370	475.6	1990	475.6	7.082	464	215320	587.8	1770	464	4790
462.9	13670	475.8	23590	475.8	1690	475.8	6.997	464.5	213390	587.9	1510	464.5	4800
463	13090	476	23760	476	1790	476	6.871	465	211420	588	1680	465	4110
463.1	13160	476.2	23430	476.2	2040	476.2	6.793	465.5	209460	588.1	1790	465.5	4090
463.2	11900	476.4	22220	476.4	1690	476.4	6.722	466	210730	588.2	2230	466	4230
463.3	12150	476.6	22320	476.6	1460	476.6	6.727	466.5	217940	588.3	1820	466.5	4450
463.4	12560	476.8	22910	476.8	1780	476.8	6.636	467	225740	588.4	1710	467	4150
463.5	12870	477	23560	477	1580	477	6.621	467.5	235540	588.5	1700	467.5	5240
463.6	11630	477.2	22360	477.2	1690	477.2	6.607	468	240150	588.6	1490	468	5600
463.7	11490	477.4	23190	477.4	1470	477.4	6.52	468.5	238730	588.7	1810	468.5	5030
463.8	12790	477.6	22690	477.6	1620	477.6	6.416	469	236480	588.8	2030	469	5600
463.9	12010	477.8	23220	477.8	1740	477.8	6.354	469.5	237480	588.9	1770	469.5	5140
464	12340	478	22240	478	1860	478	6.275	470	239280	589	2090	470	4900
464.1	12460	478.2	22150	478.2	1720	478.2	6.181	470.5	252500	589.1	2250	470.5	5040
464.2	10860	478.4	22310	478.4	1750	478.4	6.169	471	274320	589.2	2170	471	4450
464.3	12060	478.6	22640	478.6	1400	478.6	6.207	471.5	295940	589.3	2110	471.5	4550
464.4	12220	478.8	22380	478.8	1590	478.8	6.246	472	299780	589.4	2450	472	4640
464.5	12050	479	22070	479	1610	479	6.224	472.5	266430	589.5	2380	472.5	4830
464.6	12480	479.2	22790	479.2	1750	479.2	6.188	473	238500	589.6	2770	473	5000
464.7	11890	479.4	22280	479.4	1500	479.4	6.129	473.5	223630	589.7	3220	473.5	4990
464.8	11930	479.6	23170	479.6	1770	479.6	6.023	474	215220	589.8	2950	474	5160
464.9	11750	479.8	22360	479.8	1600	479.8	6.03	474.5	208380	589.9	3280	474.5	4910
465	12040	480	22320	480	1580	480	6.019	475	206750	590	3360	475	4470
465.1	11780	480.2	23200	480.2	1740	480.2	6.108	475.5	209060	590.1	3920	475.5	4550
465.2	11190	480.4	22060	480.4	1960	480.4	6.149	476	209410	590.2	3750	476	4130
465.3	12170	480.6	23380	480.6	1480	480.6	6.101	476.5	202110	590.3	3910	476.5	4010
465.4	11900	480.8	23290	480.8	1620	480.8	6.076	477	197440	590.4	4210	477	4100
465.5	11770	481	23830	481	1580	481	6.123	477.5	199720	590.5	4190	477.5	3820
465.6	12070	481.2	23750	481.2	1720	481.2	6.167	478	205750	590.6	4570	478	4310
465.7	11620	481.4	23300	481.4	1870	481.4	6.102	478.5	200870	590.7	5110	478.5	3920
465.8	11340	481.6	23790	481.6	1820	481.6	6.088	479	207290	590.8	5470	479	3960
465.9	11850	481.8	23250	481.8	1750	481.8	6.081	479.5	211440	590.9	6430	479.5	3720
466	11670	482	22990	482	1750	482	6.069	480	212050	591	6850	480	3990
466.1	11550	482.2	22720	482.2	1480	482.2	6.042	480.5	216810	591.1	8170	480.5	4150
466.2	11020	482.4	23290	482.4	1730	482.4	6.081	481	228510	591.2	9410	481	4010
466.3	11380	482.6	23240	482.6	2010	482.6	6.052	481.5	246770	591.3	10680	481.5	4400
466.4	12170	482.8	22500	482.8	1820	482.8	6.061	482	248840	591.4	13680	482	3760
466.5	11650	483	22690	483	1820	483	6.006	482.5	248650	591.5	17790	482.5	4260
466.6	11850	483.2	22640	483.2	1700	483.2	5.956	483	258030	591.6	23470	483	3970
466.7	12210	483.4	22690	483.4	1500	483.4	5.924	483.5	265960	591.7	28020	483.5	4120
466.8	12190	483.6	21900	483.6	1700	483.6	5.986	484	272500	591.8	39720	484	4150
466.9	11850	483.8	21930	483.8	1480	483.8	5.984	484.5	298550	591.9	54650	484.5	4280
467	12220	484	21700	484	1730	484	5.918	485	335730	592	73520	485	4200
467.1	12710	484.2	21470	484.2	1660	484.2	5.889	485.5	391110	592.1	91480	485.5	4590
467.2	12060	484.4	21460	484.4	1570	484.4	5.867	486	466110	592.2	116420	486	5030
467.3	12600	484.6	21260	484.6	1600	484.6	5.842	486.5	600520	592.3	143780	486.5	5610
467.4	12280	484.8	21670	484.8	1380	484.8	5.798	487	944610	592.4	166110	487	7400
467.5	12090	485	20880	485	1610	485	5.729	487.5	1548010	592.5	183420	487.5	10610
467.6	12730	485.2	21240	485.2	1640	485.2	5.772	488	2308380	592.6	184870	488	15810
467.7	13230	485.4	21090	485.4	1690	485.4	5.767	488.5	2866800	592.7	177250	488.5	20220
467.8	13350	485.6	20410	485.6	1780	485.6	5.714	489	3088060	592.8	168010	489	21970
467.9	13400	485.8	22330	485.8	1720	485.8	5.644	489.5	2938810	592.9	141230	489.5	21610
468	12500	486	21350	486	1460	486	5.645	490	2745710	593	111190	490	20320
468.1	12620	486.2	22000	486.2	1760	486.2	5.533	490.5	2580940	593.1	86030	490.5	19480
468.2	13170	486.4	21610	486.4	1560	486.4	5.563	491	2132270	593.2	60720	491	16030
468.3	12950	486.6	21660	486.6	1810	486.6	5.505	491.5	1450970	593.3	41890	491.5	12250
468.4	12550	486.8	20510	486.8	1510	486.8	5.437	492	916540	593.4	30560	492	8620
468.5	12660	487	20590	487	1490	487	5.447	492.5	772380	593.5	21700	492.5	7490
468.6	12200	487.2	20430	487.2	1850	487.2	5.451	493	843060	593.6	15550	493	8180
468.7	12260	487.4	20290	487.4	1550	487.4	5.46	493.5	1036480	593.7	11670	493.5	8530
468.8	12180	487.6	21130	487.6	1410	487.6	5.386	494	1325850	593.8	9380	494	9810
468.9	12500	487.8	20540	487.8	1710	487.8	5.341	494.5	1571180	593.9	7500	494.5	11780
469	11330	488	21110	488	1320	488	5.304	495	1548310	594	6780	495	11270
469.1	12660	488.2	20010	488.2	1820	488.2	5.364	495.5	1240260	594.1	6050	495.5	10270
469.2	11970	488.4	20940	488.4	1800	488.4	5.423	496	883210	594.2	6030	496	8150
469.3	11950	488.6	21010	488.6	1410	488.6	5.401	496.5	644430	594.3	5200	496.5	6140
469.4	12750	488.8	20730	488.8	1830	488.8	5.299	497	523830	594.4	4960	497	4890
469.5	12070	489	20450	489	1440	489	5.288	497.5	450430	594.5	4830	497.5	4950
469.6	11060	489.2	20500	489.2	1890	489.2	5.276	498	418830	594.6	5210	498	4310
469.7	11890	489.4	20450	489.4	1750	489.4	5.332	498.5	410530	594.7	5630	498.5	4380
469.8	11400	489.6	20180	489.6	1360	489.6	5.313	499	386610	594.8	5540	499	4330
469.9	11270	489.8	20390	489.8	1550	489.8	5.362	499.5	340350	594.9	6620	499.5	4180
470	12150	490	20530	490	1770	490	5.315	500	297740	595	7860	500	3990
470.1	11270	490.2	20880	490.2	1610	490.2	5.34	500.5	267560	595.1	10180	500.5	3790
470.2	12290	490.4	20940	490.4	1550	490.4	5.372	501	252530	595.2	11910	501	3610
470.3	11490	490.6	21150	490.6	1430	490.6	5.338	501.5	252460	595.3	15990	501.5	3750
470.4	11590	490.8	20950	490.8	1710	490.8	5.403	502	254410	595.4	23470	502	4080
470.5	11710	491	20630	491	1670	491	5.42	502.5	251850	595.5	31650	502.5	3940
470.6	11330	491.2	20940	491.2	1690	491.2	5.409	503	253760	595.6	42200	503	3800
470.7	11370	491.4	21650	491.4	1670	491.4	5.408	503.5	251760	595.7	57360	503.5	3690
470.8	12020	491.6	20740	491.6	1870	491.6	5.388	504	238690	595.8	74460	504	3450
470.9	10900	491.8	20980	491.8	1650	491.8	5.325	504.5	218130	595.9	89500	504.5	3260
471	11150	492	21200	492	1500	492	5.366	505	203100	596	99030	505	3290
471.1	11030	492.2	21280	492.2	1730	492.2	5.391	505.5	193470	596.1	99230	505.5	3040
471.2	11340	492.4	21040	492.4	1570	492.4	5.443	506	186760	596.2	83850	506	3200
471.3	10230	492.6	21080	492.6	1670	492.6	5.389	506.5	181830	596.3	67630	506.5	3230
471.4	12090	492.8	21170	492.8	1360	492.8	5.368	507	182130	596.4	55580	507	3200
471.5	10770	493	21220	493	1510	493	5.331	507.5	180020	596.5	40470	507.5	3280
471.6	11430	493.2	20240	493.2	1570	493.2	5.411	508	176720	596.6	29230	508	3230
471.7	10920	493.4	21470	493.4	1560	493.4	5.313	508.5	176890	596.7	21570	508.5	3370
471.8	10480	493.6	20260	493.6	1620	493.6	5.481	509	171130	596.8	16500	509	3450
471.9	10920	493.8	20320	493.8	1540	493.8	5.436	509.5	168300	596.9	13240	509.5	3130
472	10540	494	21040	494	1490	494	5.459	510	169410	597	10690	510	3110
472.1	10660	494.2	21110	494.2	1650	494.2	5.335	510.5	166780	597.1	8580	510.5	3110
472.2	11110	494.4	19670	494.4	1470	494.4	5.267	511	165820	597.2	8070	511	3320
472.3	10890	494.6	20960	494.6	1550	494.6	5.204	511.5	167510	597.3	7140	511.5	3210
472.4	10410	494.8	20130	494.8	1500	494.8	5.162	512	169130	597.4	5900	512	3250
472.5	11090	495	20110	495	1720	495	5.126	512.5	169640	597.5	5660	512.5	3070
472.6	10750	495.2	20170	495.2	1450	495.2	5.09	513	168320	597.6	5490	513	3610
472.7	11150	495.4	19610	495.4	1810	495.4	5.053	513.5	173850	597.7	5390	513.5	3120
472.8	11180	495.6	19870	495.6	1490	495.6	5.092	514	177690	597.8	4970	514	3000
472.9	11370	495.8	20220	495.8	1130	495.8	5.094	514.5	184800	597.9	4440	514.5	3010
473	11230	496	19700	496	1400	496	5.044	515	183560	598	4690	515	3260
473.1	11620	496.2	19700	496.2	1360	496.2	4.95	515.5	184360	598.1	4350	515.5	3310
473.2	11450	496.4	18450	496.4	1410	496.4	4.955	516	181050	598.2	4030	516	3160
473.3	11610	496.6	19320	496.6	1390	496.6	4.954	516.5	175050	598.3	4000	516.5	3120
473.4	12350	496.8	19350	496.8	1340	496.8	4.889	517	173580	598.4	4130	517	2980
473.5	11630	497	19140	497	1380	497	4.868	517.5	168140	598.5	3740	517.5	3270
473.6	12270	497.2	18880	497.2	1570	497.2	4.811	518	166320	598.6	3780	518	3240
473.7	11640	497.4	19180	497.4	1540	497.4	4.767	518.5	167370	598.7	4120	518.5	3000
473.8	11600	497.6	19800	497.6	1720	497.6	4.727	519	167910	598.8	4090	519	2690
473.9	11060	497.8	19390	497.8	1520	497.8	4.706	519.5	167620	598.9	3700	519.5	3000
474	11050	498	19110	498	1400	498	4.681	520	171600	599	3620	520	2980
474.1	10550	498.2	18170	498.2	1670	498.2	4.641	520.5	167820	599.1	3370	520.5	3280
474.2	10630	498.4	17920	498.4	1380	498.4	4.634	521	167770	599.2	3420	521	2920
474.3	11080	498.6	19270	498.6	1380	498.6	4.632	521.5	163840	599.3	3290	521.5	3190
474.4	11030	498.8	18900	498.8	1500	498.8	4.642	522	158720	599.4	2740	522	3170
474.5	10410	499	18250	499	1700	499	4.567	522.5	157450	599.5	2880	522.5	3030
474.6	10110	499.2	19340	499.2	1400	499.2	4.624	523	154600	599.6	2380	523	2600
474.7	11020	499.4	18110	499.4	1370	499.4	4.554	523.5	156530	599.7	2460	523.5	2910
474.8	10600	499.6	18850	499.6	1270	499.6	4.52	524	156000	599.8	2370	524	3040
474.9	10380	499.8	18280	499.8	1420	499.8	4.513	524.5	153930	599.9	2230	524.5	3100
475	10750	500	18830	500	1480	500	4.487	525	154590	600	2280	525	2950
475.1	10870	500.2	19050	500.2	1370	500.2	4.523	525.5	151970	600.1	2270	525.5	3080
475.2	10300	500.4	19040	500.4	1300	500.4	4.507	526	150340	600.2	2140	526	3070
475.3	10560	500.6	19440	500.6	1470	500.6	4.531	526.5	148140	600.3	2230	526.5	2560
475.4	10520	500.8	18290	500.8	1410	500.8	4.56	527	148520	600.4	1870	527	2510
475.5	10660	501	17900	501	1420	501	4.537	527.5	149640	600.5	1950	527.5	2640
475.6	10600	501.2	17950	501.2	1500	501.2	4.466	528	151610	600.6	1920	528	2650
475.7	9770	501.4	18380	501.4	1520	501.4	4.444	528.5	149860	600.7	2140	528.5	2700
475.8	10060	501.6	18980	501.6	1440	501.6	4.442	529	148780	600.8	1870	529	2790
475.9	10240	501.8	18150	501.8	1290	501.8	4.455	529.5	148070	600.9	1840	529.5	2770
476	10060	502	17910	502	1430	502	4.49	530	152420	601	1890	530	3280
476.1	9590	502.2	18190	502.2	1530	502.2	4.464	530.5	149930	601.1	1510	530.5	2700
476.2	10150	502.4	19060	502.4	1450	502.4	4.588	531	150500	601.2	1500	531	2750
476.3	10080	502.6	18490	502.6	1350	502.6	4.523	531.5	149210	601.3	1390	531.5	2910
476.4	10100	502.8	17830	502.8	1430	502.8	4.548	532	149910	601.4	1330	532	2860
476.5	10610	503	17730	503	1340	503	4.583	532.5	151740	601.5	1240	532.5	2880
476.6	9920	503.2	18310	503.2	1430	503.2	4.551	533	155180	601.6	1460	533	2880
476.7	9950	503.4	17430	503.4	1400	503.4	4.504	533.5	160410	601.7	1130	533.5	2730
476.8	10100	503.6	18300	503.6	1670	503.6	4.521	534	161630	601.8	1200	534	2440
476.9	10190	503.8	17700	503.8	1260	503.8	4.537	534.5	165980	601.9	1230	534.5	2710
477	9800	504	19140	504	1390	504	4.564	535	169600	602	1430	535	2600
477.1	9990	504.2	17620	504.2	1390	504.2	4.556	535.5	172280	602.1	1510	535.5	2500
477.2	10220	504.4	18430	504.4	1610	504.4	4.513	536	175810	602.2	1510	536	2900
477.3	10220	504.6	18420	504.6	1450	504.6	4.512	536.5	178000	602.3	1560	536.5	3010
477.4	10420	504.8	17860	504.8	1400	504.8	4.495	537	188810	602.4	1310	537	2950
477.5	9710	505	17720	505	1380	505	4.48	537.5	205400	602.5	1550	537.5	3100
477.6	9930	505.2	17750	505.2	1230	505.2	4.488	538	218770	602.6	1550	538	2930
477.7	10030	505.4	18140	505.4	1400	505.4	4.528	538.5	238080	602.7	2010	538.5	3450
477.8	10160	505.6	18190	505.6	1350	505.6	4.549	539	250430	602.8	1410	539	3040
477.9	10150	505.8	18580	505.8	1400	505.8	4.582	539.5	264800	602.9	2020	539.5	3440
478	10080	506	17890	506	1470	506	4.565	540	288990	603	2090	540	3730
478.1	10210	506.2	18400	506.2	1600	506.2	4.635	540.5	349690	603.1	1930	540.5	3870
478.2	10120	506.4	18390	506.4	1230	506.4	4.615	541	560670	603.2	1940	541	5160
478.3	9710	506.6	18360	506.6	1230	506.6	4.636	541.5	1010590	603.3	2060	541.5	7850
478.4	10080	506.8	18050	506.8	1460	506.8	4.662	542	1722400	603.4	2410	542	11750
478.5	10030	507	18550	507	1390	507	4.598	542.5	2722680	603.5	2270	542.5	17560
478.6	9710	507.2	17990	507.2	1440	507.2	4.603	543	4530850	603.6	2670	543	29000
478.7	10350	507.4	17780	507.4	1370	507.4	4.625	543.5	6026270	603.7	2960	543.5	40800
478.8	10120	507.6	18190	507.6	1330	507.6	4.605	544	6081100	603.8	2400	544	42630
478.9	9750	507.8	17750	507.8	1280	507.8	4.569	544.5	4761200	603.9	2320	544.5	34910
479	9850	508	17830	508	1490	508	4.602	545	3020420	604	2360	545	22140
479.1	10550	508.2	18090	508.2	1220	508.2	4.637	545.5	2159000	604.1	1940	545.5	15240
479.2	10160	508.4	17540	508.4	1450	508.4	4.584	546	2216370	604.2	2500	546	15130
479.3	9880	508.6	18170	508.6	1450	508.6	4.585	546.5	2898360	604.3	1860	546.5	19170
479.4	10050	508.8	17380	508.8	1490	508.8	4.558	547	3747910	604.4	2320	547	24690
479.5	9190	509	18240	509	1450	509	4.627	547.5	4230220	604.5	2400	547.5	28480
479.6	10030	509.2	18810	509.2	1490	509.2	4.662	548	4164340	604.6	2050	548	28300
